spd2,id,dil1,allowed_voters,spd1,pir2,voters,fdp2,cdu1,desc,invalid2,pir1,votes1,invalid1,cdu2,gru2,name,fdp1,votes2,gru1,dil2,search,city,turnout,voters_rate,allowed_voters_rate,votes_needed,impact,below,above
16804,1,1437,86552,22105,5383,55999,5820,17062,"Von der kreisfreien Stadt Aachen der Stadtbezirk Aachen-Mitte ohne die Stadtteile 31 Kaiserplatz, 32 Adalbertsteinweg, 33 Panneschopp, 34 Rothe Erde, 35 Trierer Straße, 36 Frankenberg, 37 Forst, 41 Beverau, 42 Burtscheider Kurgarten, 43 Burtscheider Abtei und 46 Steinebrück sowie die Stadtbezirke Aachen-Laurensberg, Aachen-Richterich und Aachen-Haaren",568,4334,55306,693,13179,10794,Aachen I,2224,55431,7382,1619,"aachen i  en  aachen  bezirk aachen-mitte ohne  teile 31 kaiserplatz, 32 adalbertsteinweg, 33 panneschopp, 34 rothe erde, 35 trierer straße, 36 frankenberg, 37 forst, 41 beverau, 42 burtschei kurgarten, 43 burtschei abtei und 46 steinebrück sowie  bezirke aachen-laurensberg, aachen-richterich und aachen-haaren",Aachen,0.64,0.007087343449178031,0.006526291676346543,22105,1.5,114,13
17907,2,1734,91237,20917,5004,55563,4779,18672,"Von der kreisfreien Stadt Aachen vom Stadtbezirk Aachen-Mitte die Stadtteile 31 Kaiserplatz, 32 Adalbertsteinweg, 33 Panneschopp, 34 Rothe Erde, 35 Trierer Straße, 36 Frankenberg, 37 Forst, 41 Beverau, 42 Burtscheider Kurgarten, 43 Burtscheider Abtei und 46 Steinebrück sowie die Stadtbezirke Aachen-Kornelimünster/Walheim, Aachen-Brand und Aachen-Eilendorf",788,4614,54672,891,13644,9376,Aachen II,1925,54775,6153,1764,"aachen ii  en  aachen  bezirk aachen-mitte  teile 31 kaiserplatz, 32 adalbertsteinweg, 33 panneschopp, 34 rothe erde, 35 trierer straße, 36 frankenberg, 37 forst, 41 beverau, 42 burtschei kurgarten, 43 burtschei abtei und 46 steinebrück sowie  bezirke aachen-kornelimünster/walheim, aachen-brand und aachen-eilendorf",Aachen,0.6,0.007032162432662707,0.006879555338696154,20917,1.7,122,5
27592,3,1735,116350,29974,5965,68241,4444,21667,"Von der Städteregion Aachen die Gemeinden Alsdorf, Baesweiler, Herzogenrath und Würselen",1372,6155,66766,1475,17864,6064,Aachen III,2479,66869,4288,1646,"aachen iii  städte aachen  n alsdorf, baesweiler, herzogenrath und würselen",Aachen,0.57,0.008636715018399578,0.008773154133271564,29974,0.8,34,93
26416,4,1487,111694,27802,5603,67326,4911,23274,"Von der Städteregion Aachen die Gemeinden Eschweiler, Monschau, Roetgen, Simmerath und Stolberg (Rhld.)",1257,5468,66078,1248,18690,5729,Aachen IV,2414,66069,4393,1482,"aachen iv  städte aachen  n eschweiler, monschau, roetgen, simmerath und stolberg (rhld.)",Aachen,0.59,0.008520910820896089,0.008422077161681427,27802,1.0,48,79
28943,5,1428,118837,31765,5725,74216,7458,21268,"Vom Rhein-Erft-Kreis die Gemeinden Bedburg, Bergheim, Elsdorf und Pulheim",1099,6516,72629,1587,18714,7017,Rhein-Erft-Kreis I,5097,73117,6555,1221,"rhein-erft-kreis i rhein-erft-kreis  n bedburg, bergheim, elsdorf und pulheim",Rhein-Erft-Kreis,0.61,0.009392922756195589,0.008960681716678923,31765,0.7,24,103
28401,6,1792,120151,30642,5644,72706,6528,22983,Vom Rhein-Erft-Kreis die Gemeinden Frechen und Hürth sowie die Gemeine Kerpen ohne den Stadtbezirk Türnich/Balkhausen/Brüggen,1096,6030,71414,1292,18099,7716,Rhein-Erft-Kreis II,3615,71610,6352,1726,rhein-erft-kreis ii rhein-erft-kreis  n frechen und hürth sowie  gemeine kerpen ohne den bezirk türnich/balkhausen/brüggen,Rhein-Erft-Kreis,0.59,0.00920181418982371,0.009059761429022015,30642,0.8,29,98
24511,7,1472,104396,27562,4785,64455,6382,20751,"Vom Rhein-Erft-Kreis die Gemeinden Brühl, Erftstadt und Wesseling sowie von der Gemeinde Kerpen der Stadtbezirk Türnich/Balkhausen/Brüggen",941,4879,63320,1135,16151,7446,Rhein-Erft-Kreis III,3343,63514,5313,1382,"rhein-erft-kreis iii rhein-erft-kreis  n brühl, erft und wesseling sowie    kerpen  bezirk türnich/balkhausen/brüggen",Rhein-Erft-Kreis,0.61,0.00815755142086055,0.007871785121590185,27562,1.0,54,73
23491,8,1779,128513,24414,6782,74289,8054,26019,"Vom Kreis Euskirchen die Gemeinden Bad Münstereifel, Blankenheim, Euskirchen, Kall, Mechernich, Nettersheim, Weilerswist und Zülpich",1378,6850,72697,1592,22848,6702,Euskirchen I,6656,72911,6141,1598,"euskirchen i kreis euskirchen  n bad münstereifel, blankenheim, euskirchen, kall, mechernich, nettersheim, weilerswist und zülpich",Euskirchen,0.57,0.00940216177960297,0.009690282399047085,26019,1.1,71,56
15295,9,1186,90431,15002,4419,51838,3647,23366,"Vom Kreis Heinsberg die Gemeinden Gangelt, Geilenkirchen, Heinsberg, Selfkant, Übach-Palenberg und Waldfeucht",1258,4534,50508,1330,19676,4182,Heinsberg I,2318,50580,3584,1001,"heinsberg i kreis heinsberg  n gangelt, geilenkirchen, heinsberg, selfkant, übach-palenberg und waldfeucht",Heinsberg,0.56,0.006560719114957245,0.006818780416208687,23366,1.4,100,27
19070,10,1240,97710,19397,4637,56056,4715,22221,"Vom Kreis Heinsberg die Gemeinden Erkelenz, Hückelhoven, Wassenberg und Wegberg",989,4712,55045,1011,18130,4729,Heinsberg II,2224,55067,4761,1099,"heinsberg ii kreis heinsberg  n erkelenz, hückelhoven, wassenberg und wegberg",Heinsberg,0.56,0.007094557481153658,0.007367639796836824,22221,1.5,113,14
23934,11,1290,102486,25088,5618,64216,4505,24298,"Vom Kreis Düren die Gemeinden Aldenhoven, Inden, Jülich, Langerwehe, Linnich, Merzenich, Niederzier, Nörvenich, Titz und Vettweiß",1182,5737,62858,1358,19537,5264,Düren I,2281,63034,4164,1171,"düren i kreis düren  n aldenhoven, inden, jülich, langerwehe, linnich, merzenich, niezier, nörvenich, titz und vettweiß",Düren,0.61,0.00812730311134871,0.007727765143983407,25088,1.2,82,45
22372,12,1558,117241,24037,6124,67224,5738,25523,"Vom Kreis Düren die Gemeinden Düren, Heimbach, Hürtgenwald, Kreuzau, Nideggen sowie vom Kreis Euskirchen die Gemeinden Dahlem, Hellenthal und Schleiden",1335,6472,65724,1500,21038,6158,Düren II - Euskirchen II,3109,65889,5025,1523,"düren ii - euskirchen ii kreis düren  n düren, heimbach, hürtgenwald, kreuzau, nideggen sowie  kreis euskirchen  n dahlem, hellenthal und schleiden",Düren,0.56,0.00850800150051865,0.00884033832177818,25523,1.1,76,51
24744,13,2249,121721,27576,6158,77571,9452,21257,Von der kreisfreien Stadt Köln vom Stadtbezirk 1 Innenstadt die Stadtteile 101 Altstadt-Süd und 102 Neustadt-Süd sowie der Stadtbezirk 2 Rodenkirchen,536,5603,76823,748,14341,17138,Köln I,4218,77035,15920,2504,köln i  en  köln  bezirk 1 innen  teile 101 alt-süd und 102 neu-süd sowie  bezirk 2 rodenkirchen,Köln,0.63,0.009817538147041715,0.009178144342552196,27576,1.0,53,74
22384,14,1706,107902,26539,4633,74535,11033,23958,Von der kreisfreien Stadt Köln der Stadtbezirk 3 Lindenthal,446,4177,73913,622,16753,15519,Köln II,4767,74089,12766,1650,köln ii  en  köln  bezirk 3 lindenthal,Köln,0.69,0.009433296022866203,0.008136148494097706,26539,1.1,67,60
21954,15,2605,103867,24893,5683,61842,3820,10507,Von der kreisfreien Stadt Köln der Stadtbezirk 4 Ehrenfeld sowie vom Stadtbezirk 5 Nippes die Stadtteile 501 Nippes und 507 Bilderstöckchen,533,5264,61007,835,8374,16045,Köln III,2197,61309,15541,2724,köln iii  en  köln  bezirk 4 ehrenfeld sowie  bezirk 5 nippes  teile 501 nippes und 507 bilstöckchen,Köln,0.59,0.007826845007662061,0.007831896866012182,24893,1.2,83,44
20687,16,1682,96381,22228,4179,52830,4071,14867,"Von der kreisfreien Stadt Köln der Stadtbezirk 6 Chorweiler sowie vom Stadtbezirk 5 Nippes die Stadtteile 502 Mauenheim, 503 Riehl, 504 Niehl, 505 Weidenpesch und 506 Longerich",560,4282,52105,725,11520,7310,Köln IV,2377,52270,6583,1551,"köln iv  en  köln  bezirk 6 chorweiler sowie  bezirk 5 nippes  teile 502 mauenheim, 503 riehl, 504 niehl, 505 weidenpesch und 506 longerich",Köln,0.54,0.006686268583726055,0.007267429037549175,22228,1.5,112,15
21630,17,1645,99377,24436,4458,56565,5222,15843,"Von der kreisfreien Stadt Köln der Stadtbezirk 7 Porz sowie vom Stadtbezirk 8 Kalk die Stadtteile 806 Merheim, 807 Brück und 808 Rath/Heumar",604,4862,55765,800,12717,7385,Köln V,2938,55961,6041,1601,"köln v  en  köln  bezirk 7 porz sowie  bezirk 8 kalk  teile 806 merheim, 807 brück und 808 rath/heumar",Köln,0.56,0.007158977521076364,0.007493336813941797,24436,1.2,92,35
17472,18,2088,90755,19110,4403,49460,4164,10345,"Von der kreisfreien Stadt Köln vom Stadtbezirk 8 Kalk die Stadtteile 801 Humboldt (Gremberg), 802 Kalk, 803 Vingst, 804 Höhenberg, 805 Ostheim und 809 Neubrück sowie vom Stadtbezirk 1 Innenstadt die Stadtteile 103 Altstadt-Nord, 104 Neustadt-Nord und 105 Deutz",438,4291,48891,569,7966,10559,Köln VI,2341,49022,9944,2216,"köln vi  en  köln  bezirk 8 kalk  teile 801 humboldt (gremberg), 802 kalk, 803 vingst, 804 höhenberg, 805 ostheim und 809 neubrück sowie  bezirk 1 innen  teile 103 alt-nord, 104 neu-nord und 105 deutz",Köln,0.54,0.006259754763412657,0.006843211030211093,19110,2.0,125,2
20326,19,1900,95578,23287,4627,51801,3600,10846,Von der kreisfreien Stadt Köln der Stadtbezirk 9 Mülheim,535,4905,51027,774,9626,8364,Köln VII,2629,51266,7340,2037,köln vii  en  köln  bezirk 9 mülheim,Köln,0.53,0.0065560363222713115,0.007206880324450619,23287,1.4,101,26
26275,20,1613,118002,28923,5263,68192,6080,21880,Kreisfreie Stadt Leverkusen,949,5437,67163,1029,16262,7870,Leverkusen,2880,67243,5735,1677,leverkusene  leverkusen,Leverkusen,0.57,0.00863051348213983,0.008897720103431981,28923,0.9,42,85
22409,21,1633,104466,25584,4603,66370,9198,22375,Vom Rheinisch-Bergischen Kreis die Gemeinden Bergisch Gladbach und Rösrath,653,4369,65627,743,16101,9774,Rheinisch-Bergischer Kreis I,3813,65717,7853,1425,rheinisch-bergischer kreis i rheinisch-bergischen kreis  n bergisch gladbach und rösrath,Rheinisch-Bergischer,0.63,0.008399917582848727,0.00787706334066478,25584,1.1,75,52
23021,22,1285,111069,23613,5000,70501,9824,25471,"Vom Rheinisch-Bergischen Kreis die Gemeinden Burscheid, Kürten, Leichlingen (Rhld.), Odenthal, Overath und Wermelskirchen",973,4897,69566,935,19448,7980,Rheinisch-Bergischer Kreis II,8071,69528,6229,1234,"rheinisch-bergischer kreis ii rheinisch-bergischen kreis  n burscheid, kürten, leichlingen (rhld.), odenthal, overath und wermelskirchen",Rheinisch-Bergischer,0.63,0.008922745058134974,0.008374950205658266,25471,1.1,78,49
21700,23,1268,110797,23233,4805,65486,6406,27580,"Vom Oberbergischen Kreis die Gemeinden Gummersbach, Hückeswagen, Lindlar, Marienheide, Radevormwald und Wipperfürth",1003,4918,64411,1075,20990,6241,Oberbergischer Kreis I,2698,64483,4325,1197,"oberbergischer kreis i oberbergischen kreis  n gummersbach, hückeswagen, lindlar, marienheide, radevormwald und wipperfürth",Oberbergischer,0.58,0.008288036806244264,0.008354440554396986,27580,1.0,52,75
19624,24,1132,99184,22641,4167,55766,4962,20728,"Vom Oberbergischen Kreis die Gemeinden Bergneustadt, Engelskirchen, Morsbach, Nümbrecht, Reichshof, Waldbröl und Wiehl",893,4059,54776,990,17032,5353,Oberbergischer Kreis II,2658,54873,3558,1127,"oberbergischer kreis ii oberbergischen kreis  n bergneu, engelskirchen, morsbach, nümbrecht, reichshof, waldbröl und wiehl",Oberbergischer,0.55,0.007057854511453098,0.007478784009921845,22641,1.5,109,18
23883,25,1413,122738,24509,6357,74040,8067,24267,"Vom Rhein-Sieg-Kreis die Gemeinden Eitorf, Hennef (Sieg), Lohmar, Much, Neunkirchen-Seelscheid, Ruppichteroth und Windeck",1134,6553,72573,1467,20047,10198,Rhein-Sieg-Kreis I,5064,72906,10388,1405,"rhein-sieg-kreis i rhein-sieg-kreis  n eitorf, hennef (sieg), lohmar, much, neunkirchen-seelscheid, ruppichteroth und windeck",Rhein-Sieg-Kreis,0.59,0.009370647850446282,0.009254829325393081,24509,1.2,90,37
18079,26,1029,91342,18687,4153,58033,7758,21121,"Vom Rhein-Sieg-Kreis die Gemeinden Bad Honnef, Königswinter und Sankt Augustin",742,4144,57071,962,16540,7637,Rhein-Sieg-Kreis II,4431,57291,6725,1014,"rhein-sieg-kreis ii rhein-sieg-kreis  n bad honnef, königswinter und sankt augustin",Rhein-Sieg-Kreis,0.62,0.007344770484939886,0.006887472667308046,21121,1.7,121,6
22769,27,1310,121552,25052,5782,78119,10597,31433,"Vom Rhein-Sieg-Kreis die Gemeinden Alfter, Bornheim, Meckenheim, Rheinbach, Swisttal und Wachtberg",1170,5636,76783,1336,23946,9415,Rhein-Sieg-Kreis III,4944,76949,7449,1251,"rhein-sieg-kreis iii rhein-sieg-kreis  n alfter, bornheim, meckenheim, rheinbach, swisttal und wachtberg",Rhein-Sieg-Kreis,0.63,0.009886894103579324,0.009165401213643534,31433,0.8,26,101
22835,28,1501,110389,24737,5487,64668,6607,22429,"Vom Rhein-Sieg-Kreis die Gemeinden Niederkassel, Siegburg und Troisdorf",942,5469,63570,1098,17293,7463,Rhein-Sieg-Kreis IV,3344,63726,5796,1423,"rhein-sieg-kreis iv rhein-sieg-kreis  n niekassel, siegburg und troisdorf",Rhein-Sieg-Kreis,0.58,0.00818450911929579,0.008323676077505067,24737,1.2,86,41
22705,29,1811,114709,32994,5789,73181,8676,20367,"Von der kreisfreien Stadt Bonn die Kommunalwahlbezirke 01 bis 08, 13 und 14 sowie 31 bis 37",864,4678,72098,1083,15219,14394,Bonn I,3992,72317,7722,2307,"bonn i  en  bonn  e 01 bis 08, 13 und 14 sowie 31 bis 37",Bonn,0.63,0.009261931122953936,0.008649417597537153,32994,0.7,15,112
21280,30,1639,110306,27144,5145,73790,11507,24123,"Von der kreisfreien Stadt Bonn die Kommunalwahlbezirke 09 bis 12, 16 und 17 sowie 21 bis 27 und 41 bis 43",748,4975,72778,1012,17688,12235,Bonn II,6830,73042,7744,1727,"bonn ii  en  bonn  e 09 bis 12, 16 und 17 sowie 21 bis 27 und 41 bis 43",Bonn,0.66,0.009339007359325111,0.008317417617745192,27144,1.0,59,68
